Hour,January,June,July,August,September,October,November,December
0,173.68,263.77,282.03,270.49,267.79,248.54,235.17,183.31
1,176.87,253.4,272.64,262.94,261.93,237.03,221.45,182.72
2,180.92,251.16,272.47,261.57,262.22,239.9,209.86,170.28
3,174.69,258.09,279.62,268.42,268.28,245.33,210.87,177.96
4,184.23,287.58,305.76,294.82,294.78,273.08,218.63,185.69
5,211.05,381.88,395.87,394.09,396.42,382.07,256.29,219.86
6,354.37,412.36,407.31,409.87,412.96,421.96,359.5,348.2
7,423.3,370.24,365.37,365.81,370.36,376.76,417.6,417.85
8,383.6,340.91,338.45,339.43,340.1,345.71,378.18,384.57
9,354.94,292.94,292.27,292.72,291.92,297.25,347.26,355.48
10,308.06,294.44,294.08,295.02,293.13,298.21,305.4,310.33
11,310.11,294.05,294.47,295.92,292.14,297.64,305.77,312.51
12,310.48,284.7,284.94,285.27,291.86,287.63,304.24,312.13
13,301.73,284.63,284.75,285.11,282.03,287.77,294.59,301.29
14,301.99,284.15,284.39,286.09,282.87,287.92,293.85,301.43
15,302.1,312.93,313.48,316.3,311.57,317.61,296.71,301.62
16,331.25,349.12,345.91,348.51,345.81,353.41,327.37,330.57
17,371.42,401.43,399.26,401.25,399.41,410.66,375.32,375.92
18,435.9,408.15,404.91,409.99,418.94,429.7,430.46,435.27
19,441.32,448.66,443.65,446.34,448.31,454.31,438.74,441.06
20,464.69,424.78,420.92,422.63,424.42,428.84,4588.51,463.44
21,440.19,359.61,354.8,355.15,358.99,363.32,429.54,438.85
22,373.36,294.22,286.14,285.7,391.85,296.38,365.05,368.86
23,303.48,271.25,281.75,269.79,275.45,261.92,302.24,293.46
0,189.73,,,,,,,
1,184.66,,,,,,,
2,179.14,,,,,,,
3,178.05,,,,,,,
4,174.09,,,,,,,
5,213.47,,,,,,,
6,342.23,,,,,,,
7,415.85,,,,,,,
8,378.09,,,,,,,
9,347.86,,,,,,,
10,299.33,,,,,,,
11,303.84,,,,,,,
12,304.52,,,,,,,
13,294.43,,,,,,,
14,293.39,,,,,,,
15,292.67,,,,,,,
16,321.71,,,,,,,
17,356.45,,,,,,,
18,425.03,,,,,,,
19,432.85,,,,,,,
20,457.7,,,,,,,
21,433.11,,,,,,,
22,366.6,,,,,,,
23,298.04,,,,,,,
0,231.34,,,,,,,
1,223.21,,,,,,,
2,217.82,,,,,,,
3,222.77,,,,,,,
4,242.96,,,,,,,
5,326.55,,,,,,,
6,402.2,,,,,,,
7,393.44,,,,,,,
8,360.48,,,,,,,
9,318.92,,,,,,,
10,304.59,,,,,,,
11,304.35,,,,,,,
12,297.99,,,,,,,
13,294.6,,,,,,,
14,293.02,,,,,,,
15,312.41,,,,,,,
16,346.24,,,,,,,
17,393.44,,,,,,,
18,426.05,,,,,,,
19,450.76,,,,,,,
20,441.62,,,,,,,
21,389.48,,,,,,,
22,323.77,,,,,,,
23,271.39,,,,,,,
0,227.79,,,,,,,
1,209.43,,,,,,,
2,210.34,,,,,,,
3,217.72,,,,,,,
4,243.62,,,,,,,
5,360.02,,,,,,,
6,424.8,,,,,,,
7,382.95,,,,,,,
8,355.09,,,,,,,
9,308.37,,,,,,,
10,309.69,,,,,,,
11,308.89,,,,,,,
12,299.68,,,,,,,
13,299.83,,,,,,,
14,299.29,,,,,,,
15,328.01,,,,,,,
16,363.11,,,,,,,
17,414.38,,,,,,,
18,427.17,,,,,,,
19,461.08,,,,,,,
20,436.51,,,,,,,
21,371.96,,,,,,,
22,305.76,,,,,,,
23,226.34,,,,,,,
0,258.9,,,,,,,
1,246.82,,,,,,,
2,246.22,,,,,,,
3,250.83,,,,,,,
4,279.07,,,,,,,
5,376.79,,,,,,,
6,422.18,,,,,,,
7,384.27,,,,,,,
8,354.98,,,,,,,
9,307.98,,,,,,,
10,309.13,,,,,,,
11,308.13,,,,,,,
12,298.61,,,,,,,
13,298.28,,,,,,,
14,297.47,,,,,,,
15,326.11,,,,,,,
16,361.07,,,,,,,
17,413.56,,,,,,,
18,422.58,,,,,,,
19,461.23,,,,,,,
20,435.98,,,,,,,
21,371.67,,,,,,,
22,306.86,,,,,,,
23,271.23,,,,,,,
